"","Expt","Timepoint","Date","Time","Day","Sample","Treatment","Cells_L","DOC","lncellsL","INT_DOC","delta_cells","delta_doc"
"1","DH36","T10","18/08/2018","15:00",8.8,"E","D/S",14.96,84.96,2.71,84.96,1.74,12.55
"2","DH36","T10","18/08/2018","15:00",8.8,"F","D/S",14.37,83.22,2.67,83.22,1.29,14.17
"3","DH36","T11","21/08/2018","16:30",11.86,"E","D/S",14.44,87.15,2.67,87.15,1.22,10.36
"4","DH36","T11","21/08/2018","16:30",11.86,"F","D/S",14.39,88.06,2.67,88.06,1.31,9.33
"5","DH36","T12","26/08/2018","16:30",16.86,"E","D/S",15.03,NA,2.71,85.552004454343,1.81,11.957995545657
"6","DH36","T12","26/08/2018","16:30",16.86,"F","D/S",14.59,NA,2.68,84.7637861915368,1.51,12.6262138084632
"7","DH36","T13","30/08/2018","16:00",20.84,"E","D/S",12.76,84.28,2.55,84.28,-0.460000000000001,13.23
"8","DH36","T13","30/08/2018","16:00",20.84,"F","D/S",11.96,82.14,2.48,82.14,-1.12,15.25
"9","DH36","T2","10/08/2018","18:00",0.93,"E","D/S",13.22,97.51,2.58,97.51,0,0
"10","DH36","T2","10/08/2018","18:00",0.93,"F","D/S",13.08,97.39,2.57,97.39,0,0
"11","DH36","T3","11/08/2018","10:00",1.59,"E","D/S",13.27,NA,2.59,96.6957943925234,0.0499999999999989,0.814205607476637
"12","DH36","T3","11/08/2018","10:00",1.59,"F","D/S",12.99,NA,2.56,95.9034579439252,-0.0899999999999999,1.48654205607477
"13","DH36","T4","11/08/2018","19:45",2,"E","D/S",13.22,96.19,2.58,96.19,0,1.32000000000001
"14","DH36","T4","11/08/2018","19:45",2,"F","D/S",13.6,94.98,2.61,94.98,0.52,2.41
"15","DH36","T5","12/08/2018","13:00",2.72,"E","D/S",13.32,NA,2.59,95.6405263157895,0.0999999999999996,1.86947368421053
"16","DH36","T5","12/08/2018","13:00",2.72,"F","D/S",13.6,NA,2.61,93.7348235294118,0.52,3.65517647058823
"17","DH36","T6","13/08/2018","13:00",3.72,"E","D/S",14.83,NA,2.7,94.8773684210526,1.61,2.63263157894737
"18","DH36","T6","13/08/2018","13:00",3.72,"F","D/S",14.22,NA,2.65,92.0054117647059,1.14,5.38458823529412
"19","DH36","T7","14/08/2018","9:00",4.55,"E","D/S",21.04,NA,3.05,94.2439473684211,7.82,3.26605263157894
"20","DH36","T7","14/08/2018","9:00",4.55,"F","D/S",22.83,NA,3.13,90.57,9.75,6.81999999999999
"21","DH36","T8","15/08/2018","15:00",5.8,"E","D/S",17.36,93.29,2.85,93.29,4.14,4.22
"22","DH36","T8","15/08/2018","15:00",5.8,"F","D/S",18.53,NA,2.92,88.4082352941176,5.45,8.98176470588236
"23","DH36","T9","16/08/2018","14:30",6.78,"E","D/S",15.38,NA,2.73,90.5688666666667,2.16,6.94113333333334
"24","DH36","T9","16/08/2018","14:30",6.78,"F","D/S",15.5,NA,2.74,86.7134117647059,2.42,10.6765882352941
